
state,county,precincts,reporting,biden,clinton,dodd,edwards,kucinich,obama,richardson,uncommitted-d,cort,giuliani,huckabee,hunter,keyes,mccain,paul,romney,thompson,tran,uncommitted-r
TX,Childress,5,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0
TX,Clay,9,1,,,,,,,,,0,3,84,2,1,157,9,1,4,0,4
TX,Clay,17,1,3,240,4,31,,87,3,,,,,,,,,,,,
TX,Cochran,6,6,2,184,2,15,,116,10,,0,1,151,1,0,121,1,1,1,0,4
TX,Coke,5,5,12,405,6,89,,226,20,,0,1,57,0,0,65,2,8,0,0,2
TX,Coleman,6,6,1,503,1,27,,164,8,,3,17,645,5,9,956,30,25,29,2,56
TX,Collin,163,28,18,15332,17,122,,22368,40,,10,109,10879,80,144,13506,1016,780,252,5,253
TX,Collingsworth,5,5,2,332,2,41,,156,17,,0,0,94,3,1,85,2,4,1,0,0
TX,Colorado,13,1,1,254,0,4,,252,1,,2,1,122,9,0,206,37,12,3,0,6
TX,Comal,23,1,0,1690,2,27,,1852,8,,1,24,1770,19,46,3561,253,202,72,0,65
TX,Comanche,13,1,4,411,2,20,,181,6,,0,0,101,0,2,148,9,4,5,0,4
TX,Concho,9,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0
TX,Cooke,26,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0
TX,Coryell,21,10,8,1506,2,43,,1333,9,,0,17,661,11,4,1229,45,41,26,0,22
TX,Cottle,6,1,6,85,1,13,,42,10,,,,,,,,,,,,
TX,Cottle,2,2,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
TX,Crane,5,5,4,282,1,32,,235,29,,0,1,119,1,2,172,8,6,4,0,7
TX,Crockett,5,0,0,0,0,0,,0,0,,,,,,,,,,,,
TX,Crockett,2,2,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
TX,Crosby,5,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0
TX,Culberson,6,1,3,102,1,6,,64,10,,,,,,,,,,,,
TX,Culberson,2,2,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
TX,Dallam,4,2,,,,,,,,,0,8,242,1,3,276,15,7,5,0,12
TX,Dallam,5,5,0,135,2,8,,88,1,,,,,,,,,,,,
TX,Dallas,695,33,160,45215,87,345,,84930,155,,,,,,,,,,,,
TX,Dallas,695,125,,,,,,,,,48,183,16278,194,237,23752,1663,812,398,26,365
TX,Dawson,5,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
TX,Dawson,12,12,6,777,10,38,,402,12,,,,,,,,,,,,
TX,De Witt,10,7,1,543,2,14,,467,2,,2,7,311,6,0,702,99,16,3,0,29
TX,Deaf Smith,5,5,2,604,1,14,,336,11,,1,20,687,4,6,992,19,39,13,1,68
TX,Delta,9,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0
TX,Denton,123,1,12,11543,8,85,,16953,19,,1,60,6889,66,147,8077,757,466,138,5,217
TX,Dickens,2,2,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
TX,Dickens,7,7,3,335,4,59,,194,17,,,,,,,,,,,,
TX,Dimmit,2,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
TX,Dimmit,8,0,0,0,0,0,,0,0,,,,,,,,,,,,
TX,Donley,5,1,1,102,0,9,,34,5,,,,,,,,,,,,
TX,Donley,6,1,,,,,,,,,0,2,56,0,0,68,6,2,0,0,3
TX,Duval,12,0,0,0,0,0,,0,0,,,,,,,,,,,,
TX,Duval,2,2,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
TX,Eastland,10,1,3,284,4,11,,103,6,,0,2,237,2,4,335,13,18,5,0,15
TX,Ector,36,20,5,3799,8,64,,1968,21,,1,86,2550,24,23,4397,213,152,84,2,129
TX,Edwards,6,1,1,61,0,6,,58,3,,0,0,34,1,0,58,3,1,1,0,0
TX,El Paso,171,1,120,34838,99,290,,14599,507,,10,86,1822,36,56,6677,257,337,140,13,182
TX,Ellis,46,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0
TX,Erath,14,14,3,1696,7,37,,971,6,,0,20,1499,10,13,1474,110,57,37,0,41
TX,Falls,14,1,1,333,3,22,,321,7,,0,1,59,3,2,136,7,3,0,0,10
TX,Fannin,20,1,2,819,3,25,,354,4,,0,4,340,5,3,542,39,19,14,2,33

TX,Fayette,27,16,19,1694,21,165,,1196,49,,,,,,,,,,,,
TX,Fayette,27,19,,,,,,,,,0,5,302,10,8,507,116,12,7,0,3
TX,Fisher,11,1,3,194,1,9,,69,3,,,,,,,,,,,,
TX,Fisher,2,2,,,,,,,,,0,0,51,0,0,29,3,1,2,0,0
TX,Floyd,6,0,0,0,0,0,,0,0,,,,,,,,,,,,
TX,Floyd,6,6,,,,,,,,,0,6,393,3,3,455,20,7,9,1,31
TX,Foard,2,2,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
TX,Foard,5,5,6,264,5,35,,108,14,,,,,,,,,,,,
TX,Fort Bend,140,19,11,11948,14,76,,25723,25,,,,,,,,,,,,
TX,Fort Bend,140,22,,,,,,,,,3,103,6091,309,122,11113,1159,827,151,6,426
TX,Franklin,9,6,2,590,0,26,,211,4,,0,3,361,0,3,400,22,11,7,0,11
TX,Freestone,16,1,2,454,3,32,,358,3,,0,1,144,1,2,186,10,6,2,0,2
TX,Frio,2,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
TX,Frio,10,0,0,0,0,0,,0,0,,,,,,,,,,,,
