county,precincts,reporting,biden,clinton,dodd,edwards,gravel,kucinich,obama,richardson,giuliani,huckabee,hunter,keyes,mccain,paul,romney,tancredo,thompson
Rumney,1,1,1,101,0,68,0,6,116,29,32,58,0,0,141,53,75,0,4

Rye,1,1,9,498,3,212,1,17,713,92,124,97,5,0,637,67,503,0,13


Salem,1,1,25,2867,4,953,7,30,1508,118,416,402,17,9,1566,270,2245,1,34

Salisbury,1,1,1,116,0,58,0,8,117,22,48,59,2,1,116,28,75,0,2

Sanbornton,1,1,3,252,0,175,3,22,278,41,56,62,4,0,224,61,226,0,7


Sandown,1,1,2,451,1,182,3,8,300,41,126,124,10,4,338,89,469,0,3

Sandwich,1,1,3,120,0,86,0,9,211,31,36,33,0,0,150,25,101,0,11

Seabrook,1,1,5,845,0,235,0,7,330,42,106,129,8,2,460,75,437,0,10


Sharon,1,1,0,33,0,19,0,1,80,2,4,14,0,0,29,8,30,0,0

Shelburne,1,1,0,43,0,15,0,3,39,7,10,11,0,0,29,7,27,0,5

Somersworth,5,5,3,1249,0,492,3,32,767,79,111,197,4,0,427,118,322,2,36


South Hampton,1,1,1,107,0,34,0,8,55,6,10,8,0,0,64,21,68,0,2

Springfield,1,1,0,86,0,32,0,3,143,14,27,19,2,0,122,30,74,0,4

Stark,1,1,0,42,1,49,1,1,34,4,10,22,2,1,34,7,21,0,1


Stewartstown,1,1,0,73,1,11,0,2,48,4,4,15,1,4,53,17,18,0,5

Stoddard,1,1,2,91,0,66,0,12,105,29,18,32,1,1,63,12,78,0,1

Strafford,1,1,2,349,1,207,2,23,295,56,88,138,4,2,308,96,200,0,14


Stratford,1,1,1,61,0,25,0,0,34,6,5,13,0,0,24,3,10,0,1

Stratham,1,1,0,674,2,282,2,16,802,74,255,79,7,1,690,76,608,0,16

Sugar Hill,1,1,0,62,0,30,2,2,104,11,4,5,2,1,66,12,39,0,2


